Year	Richness	Abundance	Temp	River Level 	pH
2019	20.5	217.5	25.005	30.670	7.553
2018	21	113.5	26.638	27.536	7.650
2017	23.25	163.75	26.160	28.120	7.528
2016	28	257	25.119	27.066	7.468
2015	23	284.5	24.251	28.102	7.748
2014	19	481	24.943	27.383	7.593
2013	23.5	438.5	24.994	30.097	7.554
2012	26.5	2016	27.256	26.601	7.666
2011	25.5	608.5	25.304	27.299	7.708
2010	22	340.5	26.550	29.490	7.615
2009	35	614	24.870	32.075	7.915
2008	34.5	571	25.940	35.200	7.935
2007	29.5	1070	26.610	26.490	7.870
2006	27.5	2011	29.010	29.050	7.925
2005	31	1513.5	29.590	29.800	7.995
2004	28.5	1070.5	25.830	36.050	7.950
2003	23	516.5	27.170	35.825	7.520
2001	31	550.5	26.840	28.250	7.430
1999	19.5	477	24.400	27.500	7.570
1998	19	85.5	24.400	27.500	7.570
1997	31	765.5	26.400	20.000	7.770
1996	32.5	608	25.500	29.400	7.300
1995	28.5	633	25.000	20.000	7.230
1994	29.5	780	27.400	18.500	7.900
1992	14.75	226	24.350	20.600	7.650
1991	16.25	338.5	28.350	17.800	8.025
1990	20.5	213	30.173	28.382	7.269
1989	22	356	24.500	29.571	7.419
1988	33.5	1307	28.115	26.205	7.214
1987	25.5	603	27.976	26.715	7.604
1986	21	835	26.800	27.100	7.241
1985	20.75	783.75	27.200	26.587	7.300
1984	17	505	26.564	27.242	7.127
1983	10	90	26.967	28.225	7.363
1982	14	69.25	25.689	29.500	7.517
1981	20	224	24.413	32.325	7.188
1980	19	183	24.650	30.175	7.188
1979	18	142.5	23.913	29.550	7.888
1978	18	74	26.063	28.150	7.636
1977	22	327	27.400	26.550	7.380
1976	4.5	17	24.788	34.400	7.131
1975	5.5	38	27.100	27.200	7.600
1974	4	9	25.638	31.275	7.638
