"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Score"
"1","China","","","0.9"
"2","Switzerland","Strength","Strength","0.9"
"3","Netherlands (the)","Strength","Strength","0.8"
"4","United Kingdom (the)","","Strength","0.8"
"5","Ukraine","Strength","Strength","0.8"
"6","Sweden","","","0.8"
"7","Germany","","Strength","0.8"
"8","Luxembourg","","","0.8"
"9","Ireland","","Strength","0.8"
"10","Czech Republic (the)","","Strength","0.8"
"11","Viet Nam","Strength","Strength","0.8"
"12","Malta","","","0.8"
"13","United States of America (the)","","","0.8"
"14","France","","","0.7"
"15","Italy","","Strength","0.7"
"16","Israel","","","0.7"
"17","Finland","","","0.7"
"18","Bulgaria","Strength","Strength","0.7"
"19","Republic of Korea (the)","","","0.7"
"20","Philippines","Strength","Strength","0.7"
"21","Denmark","","","0.7"
"22","Estonia","","","0.7"
"23","Iran (Islamic Republic of)","Strength","Strength","0.7"
"24","Iceland","","","0.7"
"25","Cyprus","","","0.7"
"26","Armenia","Strength","Strength","0.7"
"27","Slovakia","","Strength","0.7"
"28","Hungary","","","0.7"
"29","Republic of Moldova (the)","Strength","","0.7"
"30","United Republic of Tanzania (the)","Strength","Strength","0.7"
"31","Spain","","","0.7"
"32","Latvia","","","0.7"
"33","Japan","","","0.7"
"34","Portugal","","","0.7"
"35","Hong Kong, China","","","0.6"
"36","Belgium","","","0.6"
"37","Austria","","","0.6"
"38","India","Strength","","0.6"
"39","Poland","","","0.6"
"40","Malaysia","","","0.6"
"41","Costa Rica","","","0.6"
"42","Romania","","","0.6"
"43","Thailand","","","0.6"
"44","Singapore","Weakness","","0.6"
"45","Canada","Weakness","","0.6"
"46","Mongolia","","","0.6"
"47","Croatia","","","0.6"
"48","Montenegro","","","0.6"
"49","Tunisia","","","0.6"
"50","Lithuania","","","0.6"
"51","Slovenia","","","0.6"
"52","Mexico","","","0.6"
"53","Serbia","","","0.6"
"54","Turkey","","","0.6"
"55","Norway","Weakness","","0.6"
"56","Jamaica","","","0.6"
"57","Morocco","","","0.5"
"58","New Zealand","","","0.5"
"59","Australia","Weakness","","0.5"
"60","Greece","","","0.5"
"61","Russian Federation (the)","","","0.5"
"62","Panama","","","0.5"
"63","Lao People's Democratic Republic (the)","","Strength","0.5"
"64","Sri Lanka","","","0.5"
"65","Egypt","","","0.5"
"66","Belarus","","","0.5"
"67","Uruguay","","","0.5"
"68","Pakistan","","","0.5"
"69","Indonesia","","","0.5"
"70","Mauritius","","","0.5"
"71","Kenya","","","0.5"
"72","Madagascar","Strength","","0.5"
"73","Lebanon","","","0.5"
"74","Brazil","","","0.5"
"75","Senegal","","","0.5"
"76","Ethiopia","","","0.5"
"77","Argentina","","","0.5"
"78","Ghana","","","0.5"
"79","Qatar","Weakness","","0.5"
"80","Guatemala","","","0.5"
"81","North Macedonia","","","0.5"
"82","South Africa","","","0.5"
"83","Bosnia and Herzegovina","","","0.5"
"84","Cambodia","","","0.4"
"85","Georgia","","","0.4"
"86","Dominican Republic (the)","","","0.4"
"87","El Salvador","","","0.4"
"88","Cabo Verde","","","0.4"
"89","Chile","Weakness","","0.4"
"90","United Arab Emirates (the)","Weakness","Weakness","0.4"
"91","Kuwait","Weakness","","0.4"
"92","Tajikistan","","","0.4"
"93","Malawi","","","0.4"
"94","Paraguay","","","0.4"
"95","Zimbabwe","","","0.4"
"96","Jordan","","","0.4"
"97","Myanmar","","","0.4"
"98","Colombia","","","0.4"
"99","Ecuador","","","0.4"
"100","Mali","","","0.4"
"101","Namibia","","","0.4"
"102","Honduras","","","0.4"
"103","Saudi Arabia","Weakness","","0.4"
"104","Azerbaijan","","","0.4"
"105","Bangladesh","","","0.4"
"106","Guinea","","","0.4"
"107","Cameroon","","","0.4"
"108","Albania","Weakness","","0.4"
"109","Yemen","","","0.4"
"110","Côte d'Ivoire","","","0.4"
"111","Nigeria","","","0.4"
"112","Bahrain","Weakness","","0.3"
"113","Nepal","","","0.3"
"114","Kyrgyzstan","Weakness","","0.3"
"115","Kazakhstan","Weakness","","0.3"
"116","Botswana","Weakness","","0.3"
"117","Bolivia (Plurinational State of)","Weakness","","0.3"
"118","Trinidad and Tobago","Weakness","","0.3"
"119","Peru","Weakness","Weakness","0.3"
"120","Rwanda","","","0.3"
"121","Mozambique","","","0.3"
"122","Oman","Weakness","Weakness","0.3"
"123","Uzbekistan","Weakness","","0.3"
"124","Uganda","","Weakness","0.3"
"125","Algeria","Weakness","","0.3"
"126","Burkina Faso","","Weakness","0.3"
"127","Togo","","Weakness","0.3"
"128","Niger (the)","","","0.3"
"129","Zambia","Weakness","Weakness","0.3"
"130","Brunei Darussalam","Weakness","Weakness","0.2"
"131","Benin","Weakness","Weakness","0.2"
