"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Score"
"1","Singapore","Strength","Strength","70.2"
"2","Switzerland","Strength","Strength","69.4"
"3","Sweden","Strength","Strength","69.2"
"4","United States of America (the)","Strength","","68.8"
"5","Denmark","","Strength","66.8"
"6","United Kingdom (the)","","Strength","66.0"
"7","Hong Kong, China","","","65.8"
"8","Finland","","","65.6"
"9","Canada","","Strength","64.8"
"10","Republic of Korea (the)","","","64.8"
"11","Netherlands (the)","","","64.5"
"12","Japan","","","63.6"
"13","Australia","","","62.9"
"14","Germany","","","62.7"
"15","Norway","","","62.7"
"16","France","","","61.4"
"17","Israel","","","61.4"
"18","Austria","","","61.2"
"19","New Zealand","","","61.0"
"20","Ireland","","","59.7"
"21","Belgium","","","59.6"
"22","United Arab Emirates (the)","","","58.3"
"23","Iceland","Weakness","","57.3"
"24","Luxembourg","Weakness","","57.2"
"25","Estonia","","","56.1"
"26","China","Strength","","55.5"
"27","Spain","","","54.9"
"28","Czech Republic (the)","","","54.7"
"29","Slovenia","","","54.1"
"30","Cyprus","","","53.2"
"31","Malta","","","52.6"
"32","Portugal","","","52.5"
"33","Italy","","","52.4"
"34","Malaysia","Strength","","52.2"
"35","Latvia","","","49.6"
"36","Lithuania","","","49.4"
"37","Hungary","","","49.3"
"38","Poland","","","49.1"
"39","Brunei Darussalam","","","48.2"
"40","Greece","","","48.0"
"41","Chile","","","47.0"
"42","Russian Federation (the)","Strength","","46.6"
"43","Slovakia","","","46.5"
"44","Croatia","","","46.3"
"45","Bulgaria","","","46.0"
"46","North Macedonia","","","45.9"
"47","Mauritius","","","45.8"
"48","Thailand","","","45.5"
"49","South Africa","","","44.9"
"50","Saudi Arabia","Weakness","","44.5"
"51","Romania","","","44.4"
"52","Turkey","","","44.4"
"53","Montenegro","","","44.2"
"54","Georgia","","","43.9"
"55","Peru","","","43.8"
"56","Colombia","","","43.7"
"57","India","Strength","","43.5"
"58","Serbia","","","43.4"
"59","Brazil","","","42.9"
"60","Kazakhstan","","","42.8"
"61","Mexico","","","42.4"
"62","Viet Nam","Strength","","42.1"
"63","Bahrain","Weakness","","42.1"
"64","Qatar","Weakness","","42.0"
"65","Mongolia","Strength","","41.5"
"66","Costa Rica","","","41.4"
"67","Belarus","","","41.3"
"68","Oman","Weakness","","41.2"
"69","Uruguay","Weakness","","40.8"
"70","Philippines","Strength","","40.8"
"71","Ukraine","Strength","","40.1"
"72","Bosnia and Herzegovina","","","40.0"
"73","Kuwait","Weakness","","39.6"
"74","Albania","","","39.6"
"75","Republic of Moldova (the)","Strength","","39.2"
"76","Azerbaijan","","","39.2"
"77","Jordan","","","39.0"
"78","Tunisia","Strength","","39.0"
"79","Rwanda","Strength","","38.6"
"80","Argentina","","","38.3"
"81","Uzbekistan","","","38.2"
"82","Panama","Weakness","","38.1"
"83","Armenia","","","38.1"
"84","Botswana","","","38.1"
"85","Morocco","","","37.5"
"86","Jamaica","","","37.2"
"87","Trinidad and Tobago","Weakness","","36.7"
"88","Kyrgyzstan","","","36.6"
"89","Nepal","Strength","","36.2"
"90","Iran (Islamic Republic of)","","","35.9"
"91","Indonesia","","","35.1"
"92","Kenya","","","35.0"
"93","Lebanon","Weakness","","35.0"
"94","Dominican Republic (the)","Weakness","","34.7"
"95","El Salvador","","","34.4"
"96","Ecuador","Weakness","","34.3"
"97","Bolivia (Plurinational State of)","","","33.9"
"98","Paraguay","Weakness","","33.8"
"99","Cabo Verde","","","33.1"
"100","Honduras","","","32.9"
"101","Namibia","Weakness","","32.2"
"102","Senegal","","","32.0"
"103","Uganda","","","32.0"
"104","Egypt","","","31.9"
"105","Côte d'Ivoire","","","31.3"
"106","Burkina Faso","","","31.3"
"107","Sri Lanka","Weakness","","31.3"
"108","Tajikistan","","","31.0"
"109","Zambia","","","30.7"
"110","Guatemala","Weakness","","30.6"
"111","Algeria","Weakness","","30.5"
"112","United Republic of Tanzania (the)","","","30.4"
"113","Ghana","","","30.2"
"114","Malawi","","","30.0"
"115","Nigeria","","","29.8"
"116","Benin","","","29.8"
"117","Cambodia","","","29.6"
"118","Pakistan","","","29.5"
"119","Bangladesh","","","29.5"
"120","Cameroon","","","29.2"
"121","Togo","","","29.0"
"122","Mozambique","","","28.8"
"123","Zimbabwe","Weakness","","28.0"
"124","Niger (the)","","","27.9"
"125","Madagascar","","","27.4"
"126","Mali","","","27.3"
"127","Lao People's Democratic Republic (the)","Weakness","","27.1"
"128","Guinea","","","25.1"
"129","Myanmar","Weakness","","25.0"
"130","Ethiopia","Weakness","","24.4"
"131","Yemen","Weakness","Weakness","19.9"
